Drug Name,Description,Category,Price,Image Link
Chlorpheniramine,"Relieves allergy symptoms, may cause drowsiness.",Antihistamine,4.75,https://placehold.co/100x100?text=Chlorpheniramine
Dimenhydrinate,Prevents and treats motion sickness and nausea.,Antiemetic,6.25,https://placehold.co/100x100?text=Dimenhydrinate
Meclizine,Relieves motion sickness and vertigo.,Antiemetic,7.5,https://placehold.co/100x100?text=Meclizine
Ondansetron,"Prevents nausea and vomiting, e.g., from food poisoning.",Antiemetic,12.5,https://placehold.co/100x100?text=Ondansetron
Promethazine,"Treats nausea, motion sickness, and allergies.",Antiemetic,9.25,https://placehold.co/100x100?text=Promethazine
Scopolamine,Patch for motion sickness prevention.,Antiemetic,15.0,https://placehold.co/100x100?text=Scopolamine
Acetazolamide,Prevents and treats altitude sickness.,Diuretic,10.0,https://placehold.co/100x100?text=Acetazolamide
Dexamethasone,Reduces inflammation in altitude sickness.,Corticosteroid,11.5,https://placehold.co/100x100?text=Dexamethasone
Hydrocortisone,Topical cream for skin irritation or insect bites.,Corticosteroid,5.75,https://placehold.co/100x100?text=Hydrocortisone
Prednisone,Oral steroid for severe allergic reactions.,Corticosteroid,8.0,https://placehold.co/100x100?text=Prednisone
Metoclopramide,Treats nausea and promotes gastric emptying.,Antiemetic,8.5,https://placehold.co/100x100?text=Metoclopramide
Omeprazole,Reduces stomach acid for heartburn or GERD.,Proton Pump Inhibitor,9.0,https://placehold.co/100x100?text=Omeprazole
Esomeprazole,Treats acid reflux and heartburn.,Proton Pump Inhibitor,10.25,https://placehold.co/100x100?text=Esomeprazole
Pantoprazole,Relieves acid-related stomach issues.,Proton Pump Inhibitor,9.5,https://placehold.co/100x100?text=Pantoprazole
Ranitidine,"Reduces stomach acid, alternative to PPIs.",H2 Blocker,6.5,https://placehold.co/100x100?text=Ranitidine
Famotidine,Treats heartburn and ulcers.,H2 Blocker,7.0,https://placehold.co/100x100?text=Famotidine
Albuterol,Relieves asthma or breathing difficulties.,Bronchodilator,12.0,https://placehold.co/100x100?text=Albuterol
Montelukast,Prevents asthma and allergy symptoms.,Leukotriene Inhibitor,8.75,https://placehold.co/100x100?text=Montelukast
Fluticasone,Nasal spray for allergic rhinitis.,Corticosteroid,10.0,https://placehold.co/100x100?text=Fluticasone
Budesonide,Inhaled steroid for asthma control.,Corticosteroid,11.25,https://placehold.co/100x100?text=Budesonide
Epinephrine,Auto-injector for severe allergic reactions.,Emergency,100.0,https://placehold.co/100x100?text=Epinephrine
Levothyroxine,"Treats hypothyroidism, common in travelers.",Thyroid,7.5,https://placehold.co/100x100?text=Levothyroxine
Metformin,"Manages type 2 diabetes, useful for travelers.",Antidiabetic,6.0,https://placehold.co/100x100?text=Metformin
Insulin Glargine,Long-acting insulin for diabetes management.,Antidiabetic,50.0,https://placehold.co/100x100?text=Insulin+Glargine
Hydrochlorothiazide,Treats high blood pressure and edema.,Diuretic,5.5,https://placehold.co/100x100?text=Hydrochlorothiazide
Lisinopril,"Manages hypertension, common in travelers.",Antihypertensive,6.25,https://placehold.co/100x100?text=Lisinopril
Amlodipine,Treats high blood pressure and chest pain.,Antihypertensive,7.0,https://placehold.co/100x100?text=Amlodipine
Metoprolol,Controls blood pressure and heart rate.,Antihypertensive,6.75,https://placehold.co/100x100?text=Metoprolol
Losartan,Treats hypertension and heart failure.,Antihypertensive,8.0,https://placehold.co/100x100?text=Losartan
Atorvastatin,"Lowers cholesterol, prevents heart issues.",Statin,9.0,https://placehold.co/100x100?text=Atorvastatin
Simvastatin,Reduces cholesterol and heart disease risk.,Statin,7.5,https://placehold.co/100x100?text=Simvastatin
Rosuvastatin,Manages high cholesterol levels.,Statin,8.25,https://placehold.co/100x100?text=Rosuvastatin
Clopidogrel,Prevents blood clots in heart disease.,Antiplatelet,9.5,https://placehold.co/100x100?text=Clopidogrel
Warfarin,Anticoagulant for blood clot prevention.,Anticoagulant,6.5,https://placehold.co/100x100?text=Warfarin
Apixaban,Prevents and treats blood clots.,Anticoagulant,12.0,https://placehold.co/100x100?text=Apixaban
Diazepam,Treats anxiety or muscle spasms.,Anxiolytic,8.0,https://placehold.co/100x100?text=Diazepam
Lorazepam,Manages anxiety or insomnia.,Anxiolytic,7.75,https://placehold.co/100x100?text=Lorazepam
Alprazolam,Relieves short-term anxiety.,Anxiolytic,9.0,https://placehold.co/100x100?text=Alprazolam
Zolpidem,Short-term treatment for insomnia.,Sedative,8.5,https://placehold.co/100x100?text=Zolpidem
Oseltamivir,Treats and prevents influenza.,Antiviral,25.0,https://placehold.co/100x100?text=Oseltamivir
Acyclovir,Treats herpes virus infections.,Antiviral,10.0,https://placehold.co/100x100?text=Acyclovir
Valacyclovir,Manages herpes and shingles.,Antiviral,12.5,https://placehold.co/100x100?text=Valacyclovir
Fluconazole,"Treats fungal infections, e.g., yeast infections.",Antifungal,9.75,https://placehold.co/100x100?text=Fluconazole
Clotrimazole,Topical antifungal for skin infections.,Antifungal,6.5,https://placehold.co/100x100?text=Clotrimazole
Miconazole,Treats fungal skin infections.,Antifungal,7.0,https://placehold.co/100x100?text=Miconazole
Nystatin,Treats oral or skin fungal infections.,Antifungal,8.25,https://placehold.co/100x100?text=Nystatin
